time,total,kinetic,potential,drift,status
0.000000,20.000000,0.000000,20.000000,0.000000,0
0.010000,19.990004,0.010000,19.980004,-0.049980,0
0.020000,19.980034,0.039980,19.940054,-0.099830,0
0.030000,19.970109,0.089880,19.880229,-0.149454,1
0.040000,19.960248,0.159600,19.800647,-0.198762,1
0.050000,19.950472,0.249001,19.701471,-0.247639,1
0.060000,19.940800,0.357905,19.582896,-0.295998,1
0.070000,19.931251,0.486092,19.445159,-0.343744,1
0.080000,19.921845,0.633308,19.288538,-0.390773,1
0.090000,19.912601,0.799257,19.113344,-0.436995,1
0.100000,19.903535,0.983607,18.919928,-0.482323,1
0.110000,19.894668,1.185991,18.708677,-0.526662,1
0.120000,19.886016,1.406003,18.480013,-0.569920,1
0.130000,19.877599,1.643203,18.234396,-0.612006,1
0.140000,19.869431,1.897118,17.972313,-0.652847,1
0.150000,19.861529,2.167238,17.694291,-0.692356,1
0.160000,19.853907,2.453025,17.400882,-0.730466,1
0.170000,19.846584,2.753906,17.092678,-0.767082,1
0.180000,19.839572,3.069280,16.770292,-0.802140,1
0.190000,19.832885,3.398516,16.434369,-0.835573,1
0.200000,19.826538,3.740956,16.085581,-0.867311,1
0.210000,19.820543,4.095916,15.724627,-0.897287,1
0.220000,19.814912,4.462684,15.352227,-0.925441,1
0.230000,19.809656,4.840528,14.969129,-0.951718,1
0.240000,19.804785,5.228692,14.576094,-0.976074,1
0.250000,19.800310,5.626400,14.173911,-0.998448,1
0.260000,19.796239,6.032856,13.763383,-1.018804,1
0.270000,19.792580,6.447248,13.345332,-1.037100,1
0.280000,19.789343,6.868748,12.920595,-1.053287,1
0.290000,19.786529,7.296511,12.490018,-1.067354,1
0.300000,19.784148,7.729683,12.054465,-1.079260,1
0.310000,19.782205,8.167398,11.614807,-1.088975,1
0.320000,19.780701,8.608780,11.171921,-1.096495,1
0.330000,19.779642,9.052946,10.726695,-1.101791,1
0.340000,19.779027,9.499009,10.280018,-1.104865,1
0.350000,19.778860,9.946077,9.832783,-1.105699,1
0.360000,19.779140,10.393255,9.385885,-1.104300,1
0.370000,19.779867,10.839649,8.940219,-1.100663,1
0.380000,19.781039,11.284366,8.496673,-1.094807,1
0.390000,19.782653,11.726518,8.056136,-1.086733,1
0.400000,19.784707,12.165219,7.619488,-1.076465,1
0.410000,19.787198,12.599593,7.187605,-1.064009,1
0.420000,19.790120,13.028772,6.761348,-1.049402,1
0.430000,19.793466,13.451896,6.341570,-1.032670,1
0.440000,19.797229,13.868119,5.929110,-1.013854,1
0.450000,19.801402,14.276609,5.524793,-0.992991,1
0.460000,19.805978,14.676549,5.129429,-0.970112,1
0.470000,19.810946,15.067140,4.743806,-0.945268,1
0.480000,19.816299,15.447601,4.368698,-0.918506,1
0.490000,19.822023,15.817170,4.004853,-0.889886,1
0.500000,19.828108,16.175110,3.652999,-0.859458,1
0.510000,19.834542,16.520702,3.313840,-0.827292,1
0.520000,19.841311,16.853257,2.988054,-0.793446,1
0.530000,19.848401,17.172108,2.676293,-0.757995,1
0.540000,19.855800,17.476620,2.379180,-0.720998,1
0.550000,19.863495,17.766186,2.097309,-0.682525,1
0.560000,19.871467,18.040223,1.831244,-0.642666,1
0.570000,19.879699,18.298182,1.581517,-0.601503,1
0.580000,19.888179,18.539552,1.348627,-0.559104,1
0.590000,19.896887,18.763847,1.133041,-0.515564,1
0.600000,19.905807,18.970619,0.935188,-0.470964,1
0.610000,19.914921,19.159455,0.755466,-0.425396,1
0.620000,19.924208,19.329976,0.594232,-0.378958,1
0.630000,19.933653,19.481843,0.451810,-0.331733,1
0.640000,19.943233,19.614748,0.328485,-0.283836,1
0.650000,19.952935,19.728432,0.224503,-0.235326,1
0.660000,19.962734,19.822662,0.140072,-0.186332,1
0.670000,19.972614,19.897253,0.075361,-0.136929,1
0.680000,19.982552,19.952053,0.030499,-0.087242,0
0.690000,19.992528,19.986952,0.005576,-0.037361,0
0.700000,20.002528,20.001886,0.000642,0.012638,0
0.710000,20.012525,19.996819,0.015706,0.062627,0
0.720000,20.022503,19.971764,0.050740,0.112517,1
0.730000,20.032441,19.926770,0.105671,0.162207,1
0.740000,20.042319,19.861927,0.180392,0.211594,1
0.750000,20.052117,19.777366,0.274751,0.260586,1
0.760000,20.061817,19.673255,0.388562,0.309086,1
0.770000,20.071398,19.549803,0.521595,0.356990,1
0.780000,20.080842,19.407258,0.673585,0.404212,1
0.790000,20.090128,19.245899,0.844228,0.450638,1
0.800000,20.099238,19.066055,1.033183,0.496189,1
0.810000,20.108157,18.868085,1.240072,0.540786,1
0.820000,20.116864,18.652383,1.464481,0.584320,1
0.830000,20.125341,18.419380,1.705961,0.626703,1
0.840000,20.133572,18.169543,1.964030,0.667862,1
0.850000,20.141541,17.903370,2.238171,0.707705,1
0.860000,20.149234,17.621398,2.527836,0.746171,1
0.870000,20.156633,17.324186,2.832447,0.783166,1
0.880000,20.163721,17.012329,3.151393,0.818607,1
0.890000,20.170487,16.686450,3.484037,0.852434,1
0.900000,20.176918,16.347204,3.829714,0.884590,1
0.910000,20.183000,15.995268,4.187732,0.915001,1
0.920000,20.188722,15.631346,4.557376,0.943612,1
0.930000,20.194071,15.256165,4.937907,0.970356,1
0.940000,20.199037,14.870475,5.328562,0.995186,1
0.950000,20.203611,14.475048,5.728563,1.018054,1
0.960000,20.207781,14.070675,6.137107,1.038907,1
0.970000,20.211542,13.658164,6.553378,1.057711,1
0.980000,20.214885,13.238340,6.976545,1.074426,1
0.990000,20.217803,12.812043,7.405760,1.089016,1
1.000000,20.220291,12.380125,7.840166,1.101454,1
1.010000,20.222341,11.943449,8.278893,1.111707,1
1.020000,20.223954,11.502890,8.721064,1.119768,1
1.030000,20.225123,11.059328,9.165795,1.125615,1
1.040000,20.225847,10.613650,9.612197,1.129235,1
1.050000,20.226126,10.166748,10.059378,1.130629,1
1.060000,20.225956,9.719514,10.506441,1.129778,1
1.070000,20.225339,9.272844,10.952494,1.126693,1
1.080000,20.224276,8.827630,11.396646,1.121381,1
1.090000,20.222770,8.384764,11.838007,1.113851,1
1.100000,20.220824,7.945129,12.275695,1.104122,1
1.110000,20.218443,7.509607,12.708836,1.092213,1
1.120000,20.215629,7.079067,13.136561,1.078144,1
1.130000,20.212388,6.654371,13.558017,1.061938,1
1.140000,20.208726,6.236368,13.972358,1.043630,1
1.150000,20.204653,5.825893,14.378760,1.023265,1
1.160000,20.200175,5.423768,14.776407,1.000876,1
1.170000,20.195303,5.030797,15.164506,0.976514,1
1.180000,20.190044,4.647765,15.542279,0.950218,1
1.190000,20.184409,4.275439,15.908970,0.922046,1
1.200000,20.178413,3.914564,16.263849,0.892064,1
1.210000,20.172064,3.565860,16.606204,0.860318,1
1.220000,20.165375,3.230025,16.935349,0.826874,1
1.230000,20.158361,2.907732,17.250629,0.791805,1
1.240000,20.151034,2.599623,17.551411,0.755172,1
1.250000,20.143412,2.306316,17.837096,0.717058,1
1.260000,20.135507,2.028396,18.107111,0.677536,1
1.270000,20.127336,1.766421,18.360915,0.636682,1
1.280000,20.118917,1.520913,18.598004,0.594584,1
1.290000,20.110265,1.292363,18.817902,0.551325,1
1.300000,20.101398,1.081230,19.020168,0.506988,1
1.310000,20.092332,0.887933,19.204398,0.461658,1
1.320000,20.083086,0.712862,19.370224,0.415429,1
1.330000,20.073678,0.556364,19.517313,0.368388,1
1.340000,20.064129,0.418755,19.645374,0.320645,1
1.350000,20.054457,0.300307,19.754150,0.272284,1
1.360000,20.044681,0.201259,19.843421,0.223403,1
1.370000,20.034819,0.121809,19.913010,0.174096,1
1.380000,20.024894,0.062115,19.962779,0.124470,1
1.390000,20.014924,0.022297,19.992626,0.074618,0
1.400000,20.004928,0.002435,20.002494,0.024642,0
1.410000,19.994929,0.002567,19.992362,-0.025356,0
1.420000,19.984944,0.022694,19.962250,-0.075279,0
1.430000,19.974994,0.062776,19.912218,-0.125030,1
1.440000,19.965099,0.122732,19.842367,-0.174504,1
1.450000,19.955280,0.202443,19.752837,-0.223599,1
1.460000,19.945555,0.301749,19.643805,-0.272226,1
1.470000,19.935942,0.420452,19.515490,-0.320288,1
1.480000,19.926464,0.558314,19.368150,-0.367681,1
1.490000,19.917137,0.715059,19.202078,-0.414313,1
1.500000,19.907981,0.890375,19.017606,-0.460097,1
1.510000,19.899013,1.083909,18.815103,-0.504936,1
1.520000,19.890253,1.295277,18.594976,-0.548737,1
1.530000,19.881716,1.524054,18.357663,-0.591419,1
1.540000,19.873423,1.769783,18.103640,-0.632885,1
1.550000,19.865388,2.031973,17.833415,-0.673060,1
1.560000,19.857625,2.310100,17.547525,-0.711874,1
1.570000,19.850153,2.603607,17.246546,-0.749233,1
1.580000,19.842985,2.911907,16.931078,-0.785073,1
1.590000,19.836137,3.234385,16.601752,-0.819314,1
1.600000,19.829621,3.570394,16.259227,-0.851894,1
1.610000,19.823452,3.919263,15.904188,-0.882742,1
1.620000,19.817639,4.280295,15.537344,-0.911803,1
1.630000,19.812196,4.652768,15.159428,-0.939020,1
1.640000,19.807134,5.035936,14.771198,-0.964328,1
1.650000,19.802463,5.429033,14.373430,-0.987687,1
1.660000,19.798192,5.831274,13.966919,-1.009038,1
1.670000,19.794331,6.241854,13.552477,-1.028345,1
1.680000,19.790884,6.659951,13.130933,-1.045580,1
1.690000,19.787860,7.084729,12.703131,-1.060699,1
1.700000,19.785267,7.515341,12.269926,-1.073667,1
1.710000,19.783107,7.950923,11.832183,-1.084467,1
1.720000,19.781386,8.390607,11.390780,-1.093068,1
1.730000,19.780107,8.833510,10.946597,-1.099464,1
1.740000,19.779273,9.278749,10.500524,-1.103635,1
1.750000,19.778886,9.725433,10.053452,-1.105571,1
1.760000,19.778947,10.172669,9.606278,-1.105267,1
1.770000,19.779454,10.619562,9.159892,-1.102732,1
1.780000,19.780407,11.065218,8.715189,-1.097965,1
1.790000,19.781804,11.508747,8.273057,-1.090981,1
1.800000,19.783641,11.949260,7.834381,-1.081793,1
1.810000,19.785918,12.385878,7.400039,-1.070412,1
1.820000,19.788626,12.817728,6.970898,-1.056872,1
1.830000,19.791762,13.243945,6.547818,-1.041189,1
1.840000,19.795320,13.663677,6.131643,-1.023399,1
1.850000,19.799292,14.076086,5.723206,-1.003540,1
1.860000,19.803671,14.480346,5.323325,-0.981646,1
1.870000,19.808448,14.875650,4.932798,-0.957762,1
1.880000,19.813612,15.261205,4.552407,-0.931942,1
1.890000,19.819153,15.636241,4.182912,-0.904236,1
1.900000,19.825060,16.000008,3.825052,-0.874701,1
1.910000,19.831325,16.351781,3.479543,-0.843376,1
1.920000,19.837929,16.690852,3.147076,-0.810356,1
1.930000,19.844861,17.016546,2.828316,-0.775693,1
1.940000,19.852111,17.328212,2.523900,-0.739443,1
1.950000,19.859662,17.625225,2.234436,-0.701692,1
1.960000,19.867498,17.906994,1.960504,-0.662509,1
1.970000,19.875606,18.172954,1.702652,-0.621971,1
1.980000,19.883967,18.422572,1.461395,-0.580164,1
1.990000,19.892564,18.655349,1.237215,-0.537179,1
2.000000,19.901381,18.870820,1.030561,-0.493095,1
